,year,month,day,weight,flag,station,co2
0,1958,3,29,4,0,MLO,316.1
1,1958,4,5,6,0,MLO,317.3
2,1958,4,12,4,0,MLO,317.6
3,1958,4,19,6,0,MLO,317.5
4,1958,4,26,2,0,MLO,316.4
5,1958,5,3,6,0,MLO,316.9
6,1958,5,17,1,0,MLO,317.5
7,1958,5,24,5,0,MLO,317.9
8,1958,7,5,2,0,MLO,315.8
9,1958,7,12,4,0,MLO,315.8
10,1958,7,19,4,0,MLO,315.4
11,1958,7,26,7,0,MLO,315.5
12,1958,8,2,3,0,MLO,315.6
13,1958,8,9,4,0,MLO,315.1
14,1958,8,16,3,0,MLO,315.0
15,1958,8,30,5,0,MLO,314.1
16,1958,9,6,1,0,MLO,313.5
17,1958,11,8,4,0,MLO,313.0
18,1958,11,15,7,0,MLO,313.2
19,1958,11,22,5,0,MLO,313.5
20,1958,11,29,7,0,MLO,314.0
21,1958,12,6,6,0,MLO,314.5
22,1958,12,13,7,0,MLO,314.4
23,1958,12,20,4,0,MLO,314.7
24,1958,12,27,2,0,MLO,315.2
25,1959,1,3,3,0,MLO,315.2
26,1959,1,10,7,0,MLO,315.5
27,1959,1,17,7,0,MLO,315.6
28,1959,1,24,5,0,MLO,315.8
29,1959,1,31,2,0,MLO,315.4
30,1959,2,14,1,0,MLO,316.9
31,1959,2,21,7,0,MLO,316.6
32,1959,2,28,3,0,MLO,316.6
33,1959,3,7,7,0,MLO,316.8
34,1959,3,21,4,0,MLO,316.7
35,1959,3,28,6,0,MLO,316.7
36,1959,4,4,7,0,MLO,317.7
37,1959,4,11,7,0,MLO,317.1
38,1959,4,18,6,0,MLO,317.6
39,1959,4,25,5,0,MLO,318.3
40,1959,5,2,3,0,MLO,318.2
41,1959,5,9,1,0,MLO,318.7
42,1959,5,16,7,0,MLO,318.0
43,1959,5,23,5,0,MLO,318.4
44,1959,6,6,7,0,MLO,318.5
45,1959,6,13,5,0,MLO,318.1
46,1959,6,20,5,0,MLO,317.8
47,1959,6,27,2,0,MLO,317.7
48,1959,7,4,7,0,MLO,316.8
49,1959,7,11,7,0,MLO,316.8
50,1959,7,18,5,0,MLO,316.4
51,1959,7,25,4,0,MLO,316.1
52,1959,8,1,7,0,MLO,315.6
53,1959,8,8,3,0,MLO,314.9
54,1959,8,22,1,0,MLO,315.0
55,1959,8,29,4,0,MLO,314.1
56,1959,9,5,5,0,MLO,314.4
57,1959,9,12,3,0,MLO,313.9
58,1959,9,19,5,0,MLO,313.5
59,1959,9,26,4,0,MLO,313.5
60,1959,10,3,6,0,MLO,313.0
61,1959,10,10,3,0,MLO,313.1
62,1959,10,17,7,0,MLO,313.4
63,1959,10,24,7,0,MLO,313.4
64,1959,10,31,7,0,MLO,314.1
65,1959,11,7,2,0,MLO,314.4
66,1959,11,14,5,0,MLO,314.8
67,1959,11,21,6,0,MLO,315.2
68,1959,11,28,5,0,MLO,315.1
69,1959,12,5,4,0,MLO,315.0
70,1959,12,12,5,0,MLO,315.6
71,1959,12,19,6,0,MLO,315.8
72,1959,12,26,6,0,MLO,315.7
73,1960,1,2,4,0,MLO,315.7
74,1960,1,9,5,0,MLO,316.4
75,1960,1,16,6,0,MLO,316.7
76,1960,1,23,5,0,MLO,316.5
77,1960,1,30,6,0,MLO,316.6
78,1960,2,6,2,0,MLO,316.6
79,1960,2,13,6,0,MLO,316.9
80,1960,2,20,4,0,MLO,317.4
81,1960,2,27,5,0,MLO,317.0
82,1960,3,5,7,0,MLO,316.9
83,1960,3,12,7,0,MLO,317.7
84,1960,3,19,4,0,MLO,318.0
85,1960,3,26,6,0,MLO,317.7
86,1960,4,2,5,0,MLO,318.6
87,1960,4,9,3,0,MLO,319.3
88,1960,4,16,7,0,MLO,319.0
89,1960,4,23,7,0,MLO,319.0
90,1960,4,30,1,0,MLO,319.7
91,1960,5,7,6,0,MLO,319.9
92,1960,5,14,5,0,MLO,319.8
93,1960,5,21,6,0,MLO,320.0
94,1960,5,28,7,0,MLO,320.0
95,1960,6,4,3,0,MLO,319.4
96,1960,6,11,5,0,MLO,320.0
97,1960,6,18,3,0,MLO,319.4
98,1960,6,25,2,0,MLO,319.0
99,1960,7,2,5,0,MLO,318.1
100,1960,7,9,4,0,MLO,318.6
101,1960,7,16,5,0,MLO,318.4
102,1960,7,23,6,0,MLO,317.9
103,1960,7,30,5,0,MLO,317.3
104,1960,8,6,3,0,MLO,316.6
105,1960,8,13,6,0,MLO,316.7
106,1960,8,20,5,0,MLO,315.1
107,1960,8,27,5,0,MLO,314.7
108,1960,9,3,7,0,MLO,314.7
109,1960,9,10,7,0,MLO,314.5
110,1960,9,17,6,0,MLO,314.2
111,1960,9,24,5,0,MLO,313.3
112,1960,10,1,2,0,MLO,313.6
113,1960,10,8,4,0,MLO,313.3
114,1960,10,15,5,0,MLO,313.9
115,1960,10,22,6,0,MLO,314.2
116,1960,10,29,3,0,MLO,314.2
117,1960,11,5,7,0,MLO,314.5
118,1960,11,12,6,0,MLO,315.1
119,1960,11,19,7,0,MLO,315.1
120,1960,11,26,7,0,MLO,315.4
121,1960,12,3,5,0,MLO,315.8
122,1960,12,10,7,0,MLO,316.0
123,1960,12,17,7,0,MLO,316.2
124,1960,12,24,5,0,MLO,316.4
125,1960,12,31,7,0,MLO,316.6
126,1961,1,7,6,0,MLO,316.7
127,1961,1,14,7,0,MLO,317.0
128,1961,1,21,7,0,MLO,317.0
129,1961,1,28,7,0,MLO,317.0
130,1961,2,4,6,0,MLO,317.0
131,1961,2,11,6,0,MLO,317.7
132,1961,2,18,7,0,MLO,317.9
133,1961,2,25,7,0,MLO,318.0
134,1961,3,4,5,0,MLO,318.0
135,1961,3,11,4,0,MLO,318.5
136,1961,3,18,6,0,MLO,318.9
137,1961,3,25,7,0,MLO,318.7
138,1961,4,1,7,0,MLO,319.4
139,1961,4,8,6,0,MLO,319.5
140,1961,4,15,7,0,MLO,318.9
141,1961,4,22,6,0,MLO,319.7
142,1961,4,29,6,0,MLO,319.6
143,1961,5,6,7,0,MLO,320.6
144,1961,5,13,3,0,MLO,320.4
145,1961,5,20,6,0,MLO,320.6
146,1961,5,27,7,0,MLO,320.3
147,1961,6,3,6,0,MLO,320.0
148,1961,6,10,5,0,MLO,320.0
149,1961,6,17,7,0,MLO,319.6
150,1961,6,24,6,0,MLO,319.4
151,1961,7,1,5,0,MLO,319.2
152,1961,7,8,6,0,MLO,319.0
153,1961,7,15,5,0,MLO,318.4
154,1961,7,22,1,0,MLO,317.1
155,1961,7,29,3,0,MLO,317.9
156,1961,8,5,7,0,MLO,317.9
157,1961,8,12,2,0,MLO,317.3
158,1961,8,19,5,0,MLO,316.7
159,1961,8,26,6,0,MLO,315.2
160,1961,9,2,5,0,MLO,315.2
161,1961,9,9,5,0,MLO,314.9
162,1961,9,16,5,0,MLO,314.5
163,1961,9,23,4,0,MLO,315.0
164,1961,9,30,4,0,MLO,315.6
165,1961,10,7,5,0,MLO,314.9
166,1961,10,14,7,0,MLO,315.4
167,1961,10,21,7,0,MLO,315.4
168,1961,10,28,6,0,MLO,315.7
169,1961,11,4,6,0,MLO,315.8
170,1961,11,11,5,0,MLO,315.7
171,1961,11,18,7,0,MLO,316.2
172,1961,11,25,6,0,MLO,316.5
173,1961,12,2,5,0,MLO,316.5
174,1961,12,9,5,0,MLO,317.0
175,1961,12,16,6,0,MLO,316.9
176,1961,12,23,3,0,MLO,317.1
177,1961,12,30,7,0,MLO,317.4
178,1962,1,6,5,0,MLO,317.9
179,1962,1,13,7,0,MLO,318.1
180,1962,1,20,5,0,MLO,318.0
181,1962,1,27,7,0,MLO,317.7
182,1962,2,3,7,0,MLO,318.0
183,1962,2,10,4,0,MLO,318.3
184,1962,2,17,4,0,MLO,318.9
185,1962,2,24,1,0,MLO,319.3
186,1962,3,3,6,0,MLO,319.2
